,SSID,MAC Address,RSSI,Channel,Security
0,MAC,00:14:22:ca:a2:3c,-97,153,WPA2-Personal
1,NGP,00:14:22:07:96:85,-97,153,WPA2-Personal
2,Galaxy A55 5G EF4E,00:14:22:27:d5:3c,-82,149,WPA2-Personal
3,nvm,00:14:22:1f:a5:36,-64,149,WPA2-Personal
4,DIRECT-XNEASHUUmsVP,00:14:22:7f:49:1a,-64,153,WPA2-Personal
5,Saran,00:14:22:d3:d2:7e,-61,149,WPA3-Personal
6,_mTdY?,00:14:22:09:0f:b0,-52,1,WPA2-Personal
7,Moto g85,00:14:22:57:38:f0,-52,11,WPA3-Personal
8,Lava-HP,00:14:22:a5:90:b8,-46,161,Open
9,"^,I?d?cdY",00:14:22:1a:79:0c,-46,36,WPA2-Personal
10,Galaxy M5191A4,00:14:22:7d:42:49,-43,1,WPA2-Personal
11,Nisha,00:14:22:44:6c:8f,-43,11,WPA2-Personal
12,solider boy,00:14:22:32:2e:0a,-37,161,WPA2-Personal
13,Galaxy M12 EC7C,00:14:22:4c:98:85,-31,11,WPA2-Personal
14,KarthickS,00:14:22:aa:4f:79,-25,149,WPA3-Personal
15,Player_4,00:14:22:7e:42:47,-25,1,WPA2-Personal
16,Janani,00:14:22:93:29:e1,-24,6,WPA2-Personal
17,OPPO A3x 5G,00:14:22:0c:82:bb,-24,11,WPA2-Personal
18,Black Pearl ,00:14:22:51:cb:3a,-23,1,WPA2-Personal
19,Redmi Note 12 Pro 5G,00:14:22:3e:41:0e,-23,11,WPA2-Personal
20,hariharan,00:14:22:4e:83:b0,-23,36,WPA2-Personal
21,Krisme,00:14:22:fd:29:5c,-23,36,WPA3-Personal
22,Shreya,00:14:22:e5:ae:dc,-22,6,WPA2-Personal
23,Mithun Karthick?Ts iPhone,00:14:22:80:6b:ac,-22,6,WPA2-Personal
24,Nothing Phone (2a) Plus_8290,00:14:22:90:0f:73,-22,11,WPA3-Personal
25,OnePlus 11R 5G,00:14:22:a8:a6:f3,-21,36,WPA2-Personal
26,VIVO V25 ,00:14:22:11:62:43,-21,44,WPA3-Personal
27,Redmi 12 5G,00:14:22:d3:96:4a,-20,36,WPA2-Personal
28,naan dhan da walter,00:14:22:49:62:7a,-20,7,WPA2-Personal
29,Hidden Network,00:14:22:0c:eb:dd,-19,11,Open
30,Player_8,00:14:22:90:e4:e2,-19,1,WPA2-Personal
31,Tarun,00:14:22:11:f2:f3,-15,6,WPA2-Personal
32,Player_13,00:14:22:9f:af:7c,-14,1,WPA2-Personal
33,Galaxy M35 5G 9A2A,00:14:22:07:1a:94,-13,1,WPA2-Personal
34,NGP WI-FI,00:14:22:c8:cf:54,-94,52,Open
35,Subasri's A15,00:14:22:3f:fb:fb,-58,6,WPA2-Personal
36,OnePlus Nord 4,00:14:22:74:8e:1f,-46,1,WPA3-Personal
37,OnePlus 12R,00:14:22:79:20:2f,-34,1,WPA2-Personal
38,KYOUKA-SUIGETSU,00:14:22:3a:06:bf,-24,149,WPA2-Personal
39,JP,00:14:22:b6:bb:df,-24,11,WPA2-Personal
40,Player_9,00:14:22:a4:e5:14,-24,11,WPA2-Personal
41,Srini's Galaxy CB,00:14:22:2d:98:b3,-24,6,WPA2-Personal
42,Harshavardhan,00:14:22:77:7e:6a,-23,11,WPA2-Personal
43,realme 5i,00:14:22:5b:e0:a7,-21,11,WPA2-Personal
44,,00:14:22:65:e2:8e,-20,1,Open
45,Player_3,00:14:22:84:81:45,-20,1,WPA2-Personal
46,NOTHING,00:14:22:9c:9f:ec,-18,11,Open
47,Player_5,00:14:22:0b:c5:a4,-17,1,WPA2-Personal
